Título,Precio,M2,Habitaciones,Baños,Parking,Link
Piso muy luminoso en Les Corts Barcelona,395.000 €,70,3,1,Sin plaza parking,
Loft en carrer princep de viana en el centro en Raval Barcelona,160.000 €,50,1,3.200,Sin plaza parking,
Piso  en venta en Sant Ramon - Maternitat Barcelona,420.000 €,90,4,4,Plaza parking ,
Piso en Camp de l´Arpa Barcelona,350.000 €,103,3,1,,
Piso 37m obra nueva en Badal Barcelona,235.000 €,37,1,1,,
Piso  en venta en Poble Sec en Poble Sec Barcelona,190.000 €,59,3,1,Sin plaza parking,
Piso  con 4 habitaciones con calefacción y aire acondicionado en Barcelona,335.000 €,92,4,3,,
Piso invitación a la vida! en Gòtic Barcelona,590.000 €,72,2,2,Sin plaza parking,
Piso obra nueva junto al parque de la ciutadella en Barcelona,400.000 €,64,1,1,Sin plaza parking,
"Piso  con 5 habitaciones, ascensor y calefacción en Barcelona",355.000 €,111,5,1,Sin plaza parking,
Piso a estrenar en Esquerra Alta de l´Eixample Barcelona,570.000 €,80,3,1,Sin plaza parking,
Apartamento o-key1090 en Esquerra Alta de l´Eixample Barcelona,340.000 €,91,3,2,Sin plaza parking,
Piso  en venta de 66 m2 en Besòs - Maresme Barcelona,158.500 €,66,3,1,Sin plaza parking,
Piso  con 3 habitaciones con ascensor en Sagrada Família Barcelona,250.000 €,63,3,1,,
Piso en Guinardó Barcelona,164.900 €,51,3,1,Sin plaza parking,
Piso estupendo piso exterior en zona plaza españa en Barcelona,419.000 €,103,4,2,Plaza parking ,
Piso  de obra nueva de 121m² en venta junto la illa diagonal en Barcelona,1.454.000 €,121,3,2,Plaza parking ,
Piso  en venta de 175m² reformado junto a paseo de gracia en Barcelona,1.600.000 €,175,3,2,Sin plaza parking,
Apartamento piso de 4 habitaciones a reformar en una bonita finca clásica en el eixample esquerra en Barcelona,545.000 €,157,4,2,,
"Piso 3 habitaciones, 1 baño en Montbau Barcelona",159.000 €,75,3,1,,
Piso ubicación inmejorable en Dreta de l´Eixample Barcelona,450.000 €,91,3,2,Sin plaza parking,
Planta baja 108m en carrer cartagena obra nueva en Sagrada Família Barcelona,425.000 €,108,3.935,,,
Piso s en venta reformados en Gòtic Barcelona,590.000 €,72,2,2,,
"Piso  con 3 habitaciones amueblado con ascensor, calefacción y aire acondicionado en Barcelona",290.000 €,75,3,1,,
Piso  con 3 habitaciones en Prosperitat Barcelona,133.000 €,59,3,1,Sin plaza parking,
Piso oportunidad en Baix Guinardó Barcelona,325.000 €,83,4,2,Sin plaza parking,
Piso  en venta en Dreta de l´Eixample Barcelona,475.000 €,130,3,2,Sin plaza parking,
Piso  en venta en Sants Barcelona,379.000 €,86,3,2,Sin plaza parking,
Piso en Raval Barcelona,271.500 €,86,6,2,,
Piso  en alquiler en Raval Barcelona,205.000 €,42,1,1,Sin plaza parking,
Casa ideal para 2 familias en Carmel Barcelona,325.000 €,113,4,3,Sin plaza parking,
Piso 75m obra nueva en Carmel Barcelona,335.000 €,75,2,2,,
"Piso planta 10ª con impresionantes vistas a la ciudad y mar, una de las más cotizadas de l' illa del mar, diagonal mar. en Barcelona",950.000 €,100,2,2,Plaza parking ,
Piso en carrer castillejos piso en sagrada familia! en Barcelona,360.000 €,,,,,
Ático  dúplex de lujo en venta en Esquerra Baixa de l´Eixample Barcelona,1.900.000 €,148,2,3,Sin plaza parking,
Piso junto paseo maragall en Guinardó Barcelona,445.000 €,93,3,2,Sin plaza parking,
Piso  en venta de 251 m2 en Tres Torres Barcelona,1.350.000 €,251,6,5,Plaza parking ,
Piso a 50 metros del born en St. Pere - Sta. Caterina - El Born Barcelona,298.000 €,63,2,1,,
"Piso 4 hab,ascensor,todo exterior en Vilapicina - Torre Llobeta Barcelona",195.000 €,71,4,1,,
Piso nuda propiedad en Baix Guinardó Barcelona,195.000 €,128,4,2,,
Piso  muy luminoso en Baix Guinardó Barcelona,368.000 €,112,3,2,Sin plaza parking,
Piso para entrar a vivir en La Marina-Montjuïc Barcelona,145.500 €,65,2,2.238,,
Piso ideal parejas en Poblenou Barcelona,250.000 €,70,2,1,Sin plaza parking,
Piso en Carmel Barcelona,163.000 €,60,2,1,Sin plaza parking,
Piso en La Bordeta Barcelona,250.000 €,79,3,1,Sin plaza parking,
Piso  con 3 habitaciones con ascensor en Sagrada Família Barcelona,220.000 €,63,3,1,,
Piso oportunidad piso en el Carmelo en Carmel Barcelona,149.000 €,70,3,2,Sin plaza parking,
Piso  a reformar en Horta en Horta Barcelona,149.000 €,60,3,1,,
"Piso ubicación perfecta a pocos minutos de las ramblas, en Barcelona",338.617 €,63,2,1,Sin plaza parking,
Piso magnã­fico piso en finca modernista del barrio gótico en Barcelona,590.000 €,181,5,3,Sin plaza parking,
"Piso céntrico, alto, tranquilo en Esquerra Alta de l´Eixample Barcelona",490.000 €,106,4,2,Sin plaza parking,
Piso en Hostafrancs Barcelona,302.500 €,68,3,1,,
"Piso g.via-padilla, 90m2, asc. en Fort Pienc Barcelona",299.000 €,91,4,1,Sin plaza parking,
Piso espectacular vivienda en via layetana en Dreta de l´Eixample Barcelona,475.000 €,97,2,2,Sin plaza parking,
Piso  en venta de 115 m2 en Sagrada Família Barcelona,530.000 €,115,4,2,Sin plaza parking,
Piso  venta en Bon Pastor en Bon Pastor Barcelona,154.100 €,72,2,1,Sin plaza parking,
Casa 296m en passatge Badal obra nueva en Badal Barcelona,660.000 €,296,5,4,,
Piso  reformado en venta en camp de l’arpa en Barcelona,348.000 €,80,3,2,,
Piso en St. Pere - Sta. Caterina - El Born Barcelona,319.000 €,67,1,1,,
Apartamento en Glòries El Parc Barcelona,220.000 €,63,1,1,Plaza parking ,
"Piso  pi 100m2, 3h, 2bñ en Gòtic Barcelona",749.000 €,100,3,2,Sin plaza parking,
Piso en Vallcarca - Penitents Barcelona,337.500 €,72,2,1,,
"Piso  en carrer pi 65m2, 2h en Gòtic Barcelona",432.500 €,65,2,1,Sin plaza parking,
Piso en Esquerra Alta de l´Eixample Barcelona,349.000 €,80,4,1,Sin plaza parking,
Piso en Vilapicina - Torre Llobeta Barcelona,260.000 €,78,3,2,,
Piso en El Clot Barcelona,258.000 €,75,4,1,,
Piso Sant Andreu - reformado en Sant Andreu Barcelona,320.000 €,84,3,1,,
Planta baja totalmente reformada en Camp de l´Arpa Barcelona,210.000 €,60,2,1,Sin plaza parking,
Loft ramon turro en Poblenou Barcelona,450.000 €,120,2,1,Sin plaza parking,
Piso en Putget - Farró Barcelona,170.000 €,90,4,1,Sin plaza parking,
Piso en gran via de les corts catalanes 719 piso reformado de 100m2 con amplia terraza de 100m2. acabados de primera calidad. en Barcelona,975.000 €,210,3,2,,
Piso  en perfecto estado de 126m2 en Sants Barcelona,359.000 €,126,4,2,,
Piso en carrer atlantida (l´) de entidad bancaria en Barcelona,155.800 €,35,1,1,Sin plaza parking,
Piso soleado y luminoso en Sant Ramon - Maternitat Barcelona,430.000 €,108,4,2,Sin plaza parking,
"Apartamento  / piso , , cataluna, en Esquerra Alta de l´Eixample Barcelona",365.000 €,139,3,2,,
Piso oportunidad en Sant Martí Barcelona,210.000 €,71,5,1,Sin plaza parking,
Chalet  a 4 vientos con terrazas en Vallvidrera - Tibidabo - Les Planes Barcelona,850.000 €,170,5,3,Sin plaza parking,
Piso  para dejar a tu gusto en Poblenou Barcelona,250.000 €,70,3,1,Sin plaza parking,
Piso ideal zona en Raval Barcelona,320.000 €,75,2,1,Sin plaza parking,
Piso obra nueva en Congrés - Indians Barcelona,279.000 €,75,3,2,Sin plaza parking,
Piso  en venta de 69 m2 en Poble Sec Barcelona,230.000 €,69,2,1,Sin plaza parking,
Ático  con ascensor en Trinitat Nova Barcelona,145.000 €,75,3,1,Sin plaza parking,
"Piso primero con 3 habitaciones, ascensor, calefacción y aire acondicionado en Barcelona",490.000 €,88,3,1,Sin plaza parking,
Piso  con 2 habitaciones con ascensor en Sagrada Família Barcelona,449.000 €,87,2,2,,
Piso  de obra nueva de 95m² en venta junto a la avenida diagonal en Barcelona,1.082.000 €,95,3,2,Plaza parking ,
Piso  en venta - poble-sec en Poble Sec Barcelona,244.500 €,69,3,1,Sin plaza parking,
Piso  para entrar a vivir en Diagonal Mar - La Mar Bella Barcelona,210.000 €,55,2,1,Sin plaza parking,
Piso en St. Pere - Sta. Caterina - El Born Barcelona,286.500 €,70,2,1,,
Piso  exterior totalmente reformado en Poble Sec Barcelona,360.000 €,70,2,1,Sin plaza parking,
"Piso cuarto con 3 habitaciones, ascensor, calefacción y aire acondicionado en Barcelona",379.000 €,86,3,2,Sin plaza parking,
Piso en La Guineueta Barcelona,220.000 €,94,3,1,,
Piso en Verdun Barcelona,105.000 €,46,2,1,,
Piso en carrer amistat (de l´) proximo a playa en Barcelona,150.000 €,45,2,1,Sin plaza parking,
Apartamento ¡excelente oportunidad! en Camp de l´Arpa Barcelona,339.000 €,51,2,1,,
"Piso primero con 3 habitaciones, ascensor y aire acondicionado en Barcelona",460.000 €,116,3,2,Sin plaza parking,
Piso  en venta en el Carmel en Carmel Barcelona,189.000 €,65,3,1,,
"Piso céntrico,reformado,2 hab.,ext. en Raval Barcelona",159.000 €,58,2,1,,
Piso exclusiva propiedad en borne en St. Pere - Sta. Caterina - El Born Barcelona,695.000 €,112,3,2,,
Piso 65m obra nueva en Sant Genís dels Agudells Barcelona,245.000 €,65,2,1,,
"Piso  con 3 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",348.000 €,87,3,2,,
Piso en La Sagrera Barcelona,185.000 €,58,3,1,,
Piso inversores en Dreta de l´Eixample Barcelona,790.000 €,155,3,2,Sin plaza parking,
Casa  hogar negocio junto al park guell en la zona alta en Barcelona,1.400.000 €,175,2,2,Plaza parking ,
Piso en Raval Barcelona,225.500 €,64,3,2,,
Piso en Guinardó Barcelona,183.000 €,71,3,2,,
Piso obra nueva junto al parque de la ciutadella en Barcelona,390.000 €,62,1,1,Sin plaza parking,
Piso en Vallcarca - Penitents Barcelona,230.000 €,80,3,1,,
"Piso junto rambla canaletes, piso de 9 habitaciones, en Barcelona",679.000 €,250,9,3,Sin plaza parking,
"Piso zona tranquila, con ascensor en Guinardó Barcelona",237.000 €,88,3,1,Sin plaza parking,
Piso todo reformado a estrenar en Sant Gervasi - Bonanova Barcelona,450.000 €,65,2,2,Sin plaza parking,
Piso en c/ tirso de molina nº 10 piso en venta en la bordeta en Barcelona,300.000 €,68,2,1,Plaza parking ,
Piso en Turó de la Peira - Can Peguera Barcelona,204.900 €,70,2,1,Sin plaza parking,
Piso  con 2 habitaciones en Poble Sec Barcelona,184.000 €,54,2,1,,
Piso en Esquerra Alta de l´Eixample Barcelona,395.000 €,110,4,2,Sin plaza parking,
Piso  con 3 habitaciones con ascensor y calefacción en Barcelona,268.000 €,80,3,1,,
Piso  en venta en turó parc en Sant Gervasi - Galvany Barcelona,800.000 €,120,3,2,Sin plaza parking,
Piso  en venta en Poble Sec Barcelona,250.000 €,47,2,1,Sin plaza parking,
"Piso primero con 3 habitaciones, ascensor, parking y calefacción en Barcelona",260.000 €,69,3,1,Plaza parking ,
Ático encanto en el borne. en St. Pere - Sta. Caterina - El Born Barcelona,465.000 €,101,4,1,Sin plaza parking,
Piso  con 4 habitaciones con ascensor en Sagrada Família Barcelona,395.000 €,93,4,2,,
"Piso centrico, junto paseo de gracia en Esquerra Alta de l´Eixample Barcelona",275.000 €,55,3,1,Sin plaza parking,
Piso  en venta de 110 m2 en Les Corts Barcelona,628.000 €,110,3,2,Sin plaza parking,
Piso estrena piso en les corts. en Pedralbes Barcelona,450.000 €,62,2,2,Sin plaza parking,
Piso  en venta de 69 m2 en Sant Martí Barcelona,194.000 €,69,3,1,Sin plaza parking,
Loft ideal negocio/despacho vivienda en Dreta de l´Eixample Barcelona,365.000 €,98,1,2,Sin plaza parking,
Piso exterior con jardin privado en Navas Barcelona,195.000 €,75,3,1,Sin plaza parking,
Piso oportunidad en la zona en Besòs - Maresme Barcelona,110.000 €,57,3,1,Sin plaza parking,
Piso  con calefacción y aire acondicionado en Barcelona,145.000 €,41,1,1,,
Piso fantástico piso de 3 habitaciones en la marina del port (bn2-655) en Barcelona,235.000 €,85,3,1,,
Piso en Raval Barcelona,257.000 €,67,1,1,,
Piso inversores! se vende la nuda propiedad de una vivienda en el barrio de les tres torres en Barcelona,139.000 €,52,2,1,Sin plaza parking,
"Piso sexto con 3 habitaciones, ascensor, calefacción y aire acondicionado en Barcelona",415.000 €,105,3,2,Sin plaza parking,
Piso 100m en avinguda mare deu de montserrat obra nueva en Barcelona,475.000 €,100,2,2,,
Piso estrenar cerca rambla Poblenou en Poblenou Barcelona,239.000 €,53,2,2,Sin plaza parking,
Piso en Sants Barcelona,390.000 €,78,3,2,,
"Piso  con 2 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",450.000 €,89,2,1,,
Piso 76m en passeig taulat obra nueva en Poblenou Barcelona,446.000 €,76,2,1,,
Ático  con 3 habitaciones con ascensor y aire acondicionado en Barcelona,390.000 €,65,3,1,,
Piso alto y luminoso en Esquerra Baixa de l´Eixample Barcelona,445.000 €,88,2,2,Sin plaza parking,
Piso  reformado en venta en l’eixample esquerra en Barcelona,540.000 €,114,2,2,,
"Piso cuarto con 3 habitaciones, calefacción y aire acondicionado en Barcelona",235.000 €,63,3,2,Sin plaza parking,
Piso a estrenar en El Clot Barcelona,295.000 €,67,2,1,Sin plaza parking,
Piso en Sagrada Família Barcelona,260.000 €,60,1,1,,
"Piso  en venta , con 83 m2, 3 habitaciones y 1 baños, ascensor y calefacción radiante. en Barcelona",324.900 €,83,3,1,,
Piso  en venta de 77 m2 en Trinitat Nova Barcelona,189.000 €,77,3,1,Sin plaza parking,
Piso  en venta de 93 m2 en La Marina-Montjuïc Barcelona,205.000 €,93,3,1,Sin plaza parking,
Piso en Guinardó Barcelona,285.000 €,84,3,2,Plaza parking ,
Piso 109m en passeig taulat obra nueva en Poblenou Barcelona,647.500 €,109,4,2,,
Piso  en el barrio de gracia en Vila de Gràcia Barcelona,345.000 €,75,3,1,Sin plaza parking,
Piso  en venta en marina Fort Pienc en Fort Pienc Barcelona,570.000 €,104,3,2,Sin plaza parking,
Piso exclusivo y espacioso piso cerca de plaza kennedy en Barcelona,1.100.000 €,251,6,3,,
Piso espectacular en Tres Torres en Tres Torres Barcelona,1.380.000 €,196,4,4,Plaza parking ,
Piso  con 3 habitaciones en Raval Barcelona,130.000 €,47,3,2,,
Apartamento oportunidad en la zona en Badal Barcelona,185.000 €,50,2,1,Sin plaza parking,
Estudio casa / chalet en venta de 300 m2 en Pedralbes Barcelona,4.500.000 €,300,5,5,Plaza parking ,
Piso ideal inversores! en Poble Sec Barcelona,206.900 €,50,2,1,Sin plaza parking,
Piso oportunidad en el barrio en La Bordeta Barcelona,215.000 €,70,3,1,Sin plaza parking,
Apartamento piso en venta en beat almató en El Coll Barcelona,184.000 €,81,4,1,Sin plaza parking,
Piso práctico piso con parking y trastero en Diagonal Mar - La Mar Bella Barcelona,615.000 €,125,4,2,Plaza parking ,
Piso  en venta de 120 m2 en Sant Ramon - Maternitat Barcelona,433.000 €,120,3,2,Sin plaza parking,
Piso  en venta de 49 m2 en Sants Barcelona,214.000 €,49,2,1,Sin plaza parking,
Piso todo exterior en la mejor zona en Tres Torres Barcelona,1.880.000 €,374,6,5,Plaza parking ,
Piso en Taxonera Barcelona,144.000 €,60,3,1,,
Dúplex 113m en avinguda mare deu de montserrat obra nueva en Barcelona,515.000 €,113,3,3,,
Piso en Camp de l´Arpa Barcelona,350.000 €,77,3,2,,
Piso obra nueva en maragall en Vilapicina - Torre Llobeta Barcelona,396.000 €,88,4,2,Sin plaza parking,
Dúplex 113m en avinguda mare deu de montserrat obra nueva en Barcelona,600.000 €,113,3,3,,
Piso en Sagrada Família Barcelona,420.000 €,101,4,2,,
Piso gran piso de 240m reformado en Dreta de l´Eixample Barcelona,2.550.000 €,240,5,3,Sin plaza parking,
Piso esquina con rambla catalunya en Dreta de l´Eixample Barcelona,485.000 €,115,4,2,Sin plaza parking,
Piso alto y luminoso! en Esquerra Baixa de l´Eixample Barcelona,485.000 €,120,4,2,Sin plaza parking,
"Piso sexto con 4 habitaciones, ascensor y calefacción en Barcelona",690.000 €,140,4,3,Sin plaza parking,
Piso precioso piso dúplex en sants en Badal Barcelona,326.000 €,90,4,2,Sin plaza parking,
Piso magnífico piso en arc de triomf en Glòries El Parc Barcelona,389.000 €,70,3,2,Sin plaza parking,
Piso en Camp d´en Grassot - Gràcia N. Barcelona,310.000 €,78,3,1,Sin plaza parking,
Piso en Sant Genís dels Agudells Barcelona,173.500 €,63,3,1,,
Piso en Navas Barcelona,299.000 €,74,3,2,,
Piso 9093tmallo en Sagrada Família Barcelona,449.000 €,87,2,2,Sin plaza parking,
"Piso alcanar, vivir al lado del mar en Barceloneta Barcelona",184.000 €,37,1,1,Sin plaza parking,
Piso en Trinitat Nova Barcelona,189.000 €,77,3,1,,
Piso  3 habitaciones con ascensor en Horta Barcelona,160.000 €,65,3,1,,
"Piso  con 3 habitaciones con ascensor, parking, calefacción y aire acondicionado en Barcelona",600.000 €,109,3,2,Plaza parking ,
Piso reformado en Sagrada Família Barcelona,349.000 €,87,3,1,Sin plaza parking,
Piso llança 3 habitaciones en Esquerra Baixa de l´Eixample Barcelona,275.000 €,70,3,1,Sin plaza parking,
Piso  reformado de tres habitaciones en l'eixample esquerra en Barcelona,609.000 €,92,3,2,,
Piso visita virtual. piso soleado y completamente reformado en Barcelona,645.000 €,110,3,2,Sin plaza parking,
Piso en Poble Sec Barcelona,198.000 €,46,3,1,,
Piso  a reformar en calle londres en Esquerra Alta de l´Eixample Barcelona,510.000 €,120,4,2,Plaza parking ,
Ático de lujo en Pedralbes Barcelona,3.900.000 €,214,4,4,Plaza parking ,
Dúplex 80m en carrer escoles obra nueva en El Clot Barcelona,365.000 €,80,2,2,,
Piso de obra nueva en Sant Andreu Barcelona,370.000 €,97,3,2,Sin plaza parking,
"Piso muy luminoso. alto, exterior. en Sarrià Barcelona",840.000 €,158,4,3,Plaza parking ,
Apartamento a 1 minuto de la plaza españa! en Font de la Guatlla Barcelona,220.000 €,52,1,1,Sin plaza parking,
Piso en carrer pau claris piso exterior en finca regia en Barcelona,595.000 €,117,2,2,Sin plaza parking,
Ático espectacular ático en Sants Barcelona,280.000 €,72,2,1,Sin plaza parking,
"Piso  en venta , con 90 m2, 3 habitaciones y 2 baños, ascensor, aire acondicionado y calefacción por conductos. en Barcelona",289.000 €,90,3,2,,
Piso  en calle aiguablava en Trinitat Nova Barcelona,114.500 €,50,2,1,,
Ático visita virtual. ático con 2 terrazas a estrenar en gracia en Barcelona,375.000 €,67,1,1,Sin plaza parking,
Ático espectacular ático en Sant Andreu Barcelona,258.000 €,65,2,1,Sin plaza parking,
Ático con gran terraza en El Clot Barcelona,469.000 €,118,4,1,Sin plaza parking,
Piso exclusivo rambla Poblenou en Poblenou Barcelona,328.000 €,83,3,2,Sin plaza parking,
Piso en Carmel Barcelona,162.500 €,60,3,1,,
Piso alquiler temporada sant pere en St. Pere - Sta. Caterina - El Born Barcelona,480.000 €,110,2,1,,
Piso oportunidad en Badal en Badal Barcelona,199.000 €,50,2,1,Sin plaza parking,
Piso rocafort en Esquerra Alta de l´Eixample Barcelona,595.000 €,94,4,2,Sin plaza parking,
Piso oportunidad en Porta Barcelona,165.000 €,55,2,1,Sin plaza parking,
Piso  de 175 m2 de 4 habitaciones con el garaje incluido en san gervasi. en Barcelona,875.000 €,175,4,2,Plaza parking ,
Piso 68m obra nueva en Font d´en Fargas Barcelona,320.000 €,68,2,1,,
Ático piso en venta de 110 m2 en Bon Pastor Barcelona,277.500 €,110,4,2,Sin plaza parking,
Casa pareada junto calle santa caterina en Sants Barcelona,750.000 €,249,3.012,,Plaza parking ,
Piso  reformado a estrenar! en Vilapicina - Torre Llobeta Barcelona,260.000 €,78,3,2,,
Piso en Badal Barcelona,160.000 €,60,2,1,Sin plaza parking,
Piso reformado a estrenar en Les Corts Barcelona,398.000 €,101,4,2,Sin plaza parking,
Piso 121m en avinguda mare deu de montserrat obra nueva en Barcelona,660.000 €,121,4,2,,
Piso muy bien conservado en Trinitat Nova Barcelona,163.000 €,66,3,1,Sin plaza parking,
Piso  con terraza de 75m2 en Camp d´en Grassot - Gràcia N. Barcelona,385.000 €,80,3,4.813,,
Piso totalmente reformado en Trinitat Vella Barcelona,208.000 €,94,2,1,Sin plaza parking,
Piso un tesoro en eixample modernista en Dreta de l´Eixample Barcelona,895.000 €,96,2,2,Sin plaza parking,
Piso 121m en avinguda mare deu de montserrat obra nueva en Barcelona,625.000 €,121,4,2,,
Apartamento piso en venta en av. josep tarra en Les Corts Barcelona,445.000 €,75,3,1,Sin plaza parking,
Piso vivienda de 75m2 con balcón en Bon Pastor Barcelona,117.000 €,77,3,1,,
Piso espectacular piso a escasos metros de la rambla en Barcelona,690.000 €,144,3,2,Sin plaza parking,
"Casa primero con 4 habitaciones, ascensor, parking, calefacción y terraza en Barcelona",890.000 €,271,4,4,Plaza parking ,
Estudio  duplex en Prosperitat Barcelona,89.900 €,97,3,2,Sin plaza parking,
Piso  en venta de 70 m2 en Poble Sec Barcelona,280.000 €,70,2,1,Sin plaza parking,
Piso  con patio en josep tarradellas de gran rehabilitación en Barcelona,570.000 €,97,3,1,Sin plaza parking,
"Piso  venta grácia, 1100000€ en Vila de Gràcia Barcelona",1.100.000 €,450,5,3,Sin plaza parking,
Piso  en venta muy luminoso en sagrada familia en Barcelona,449.000 €,87,2,2,Sin plaza parking,
Piso  en venta de 83 m2 en Sants Barcelona,300.000 €,83,4,2,Sin plaza parking,
Piso en La Marina-Montjuïc Barcelona,184.000 €,80,4,2,,
Piso  reformado con 2 ascensores! en Ciutat Meridiana Barcelona,149.000 €,81,3,2,Sin plaza parking,
Piso en carrer sugranyes vivienda con terraza jardín en Barcelona,334.300 €,75,2,2,Sin plaza parking,
"Piso  con 3 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",380.000 €,103,3,2,,
Piso  luminoso en c/font honrada (Poble Sec) en Barcelona,240.000 €,60,2,1,Sin plaza parking,
"Casa  venta Sants montjuic, 985000€ en Sants Barcelona",985.000 €,530,3,2,Plaza parking ,
Piso tu piso en la Barceloneta. en Barceloneta Barcelona,285.000 €,56,3,1,Sin plaza parking,
Piso  con 4 habitaciones con ascensor y calefacción en Barcelona,549.000 €,125,4,2,,
Piso reformado a estrenar en Les Corts Barcelona,398.000 €,101,4,2,Sin plaza parking,
Piso excelente piso de 64m² en Sant Andreu Barcelona,165.000 €,64,2,1,,
Piso amplio piso con 40 m2 de terraza en Fort Pienc Barcelona,395.000 €,130,4,2,Sin plaza parking,
Piso  totalmente reformado. en Vila de Gràcia Barcelona,620.000 €,110,3,2,,
Piso  reformado en vía laietana en St. Pere - Sta. Caterina - El Born Barcelona,590.000 €,131,3,3,,
"Casa  en venta en Pedralbes, en Pedralbes Barcelona",4.600.000 €,686,6,7,Sin plaza parking,
Piso  nuevo a estrenar. en Sagrada Família Barcelona,395.000 €,100,3,2,,
Piso pis en venta a en Sagrada Família Barcelona,270.000 €,60,4,1,Sin plaza parking,
Piso en St. Pere - Sta. Caterina - El Born Barcelona,250.000 €,52,1,1,Sin plaza parking,
Piso obra nueva. en Gòtic Barcelona,590.000 €,72,2,2,,
Piso 68m obra nueva en Font d´en Fargas Barcelona,320.000 €,68,2,1,,
Piso perfecto para entrar a vivir en Sant Gervasi - Bonanova Barcelona,795.000 €,165,3,2,Sin plaza parking,
Piso  en venta - la Vila de Gràcia en Vila de Gràcia Barcelona,351.000 €,68,2,1,Sin plaza parking,
Piso en Fort Pienc Barcelona,299.000 €,80,4,1,,
Piso en Porta Barcelona,136.000 €,56,3,1,,
"Piso alto y soleado, con balcon en Diagonal Mar - La Mar Bella Barcelona",195.000 €,79,3,1,,
Piso  de obra nueva en El Clot en El Clot Barcelona,371.450 €,81,2,2,Plaza parking ,
Apartamento  tutelado en Dreta de l´Eixample Barcelona,260.000 €,47,1,1,Plaza parking ,
Piso amplio piso con vistas en Canyelles Barcelona,268.000 €,90,4,1,Sin plaza parking,
"Piso  venta sant martã­, 195000€ en Sant Martí Barcelona",195.000 €,80,3,1,Sin plaza parking,
Piso con terraza de 75m2! en Baix Guinardó Barcelona,400.000 €,160,4,2,Sin plaza parking,
Piso visita virtual. fabuloso loft luminoso en el centro en Barcelona,565.000 €,110,2,2,Sin plaza parking,
Piso en Taxonera Barcelona,179.000 €,65,3,1,Sin plaza parking,
Piso en Horta Barcelona,192.000 €,67,3,1,Sin plaza parking,
Piso en carrer robador ¡¡¡¡negociable!!!! en Raval Barcelona,159.000 €,60,2,1,Sin plaza parking,
Piso aragó - passeig sant joan en Dreta de l´Eixample Barcelona,1.130.000 €,233,5,2,Sin plaza parking,
Piso en carrer nou de la rambla vivienda exclusiva reformada en en Barcelona,290.000 €,62,2,2,Sin plaza parking,
"Piso  venta horta guinardó - Taxonera, 215000€ en Barcelona",215.000 €,68,3,1,Sin plaza parking,
Piso en Sagrada Família Barcelona,360.000 €,70,3,1,,
Piso junto al hospital de sant pau en Guinardó Barcelona,320.000 €,93,4,2,Sin plaza parking,
Ático en Font de la Guatlla Barcelona,749.000 €,110,5,1,Sin plaza parking,
Ático en Badal Barcelona,239.000 €,60,2,1,Sin plaza parking,
Piso para entrar a vivir en Carmel Barcelona,130.000 €,75,2,1,Sin plaza parking,
Piso fantástico piso en pg.st.joan en Dreta de l´Eixample Barcelona,650.000 €,113,4,2,Sin plaza parking,
Piso apartamento de diseño totalmente a estrenar en Sant Antoni en Barcelona,498.000 €,66,2,2,Sin plaza parking,
Piso alto y luminoso piso c/aragó (sagrada familia) a la altura de padilla en Barcelona,370.000 €,96,3,2,Sin plaza parking,
Piso  reformado de 105 m2 con parking en Tres Torres en Barcelona,739.000 €,105,3,2,Plaza parking ,
Piso en Raval Barcelona,290.000 €,97,3,1,Sin plaza parking,
Piso zona residencial con piscina en Sant Ramon - Maternitat Barcelona,480.000 €,95,3,2,Sin plaza parking,
Piso  en venta - el Carmel en Carmel Barcelona,126.500 €,50,3,1,Sin plaza parking,
Ático la elegancia de lo clásico en Esquerra Baixa de l´Eixample Barcelona,1.900.000 €,157,3,4,Sin plaza parking,
Apartamento oportunidad en san martín!! en Besòs - Maresme Barcelona,230.000 €,80,3,1,Sin plaza parking,
Piso excepcional piso muy luminoso en arquitecte sert (Vila Olímpica) en Barcelona,620.000 €,158,3,2,Sin plaza parking,
Ático esquinero amplio 2 pk trastero en Tres Torres Barcelona,1.490.000 €,227,4,3,Plaza parking ,
"Loft  venta horta guinardo - Carmel, 127000€ en Barcelona",127.000 €,157,2,2,Sin plaza parking,
Casa adosada preciosa casa muy luminosa en Roquetes Barcelona,235.000 €,105,4,2,Sin plaza parking,
Piso la elegancia de lo clásico en Esquerra Baixa de l´Eixample Barcelona,1.325.000 €,149,2,3,Sin plaza parking,
Piso en Font d´en Fargas Barcelona,189.000 €,59,1,1,Sin plaza parking,
Piso excelente zona en Sant Andreu Barcelona,215.000 €,66,3,1,Sin plaza parking,
"Piso paseo maragall, a 5 minutos de la plaza maragall en Barcelona",325.000 €,88,3,2,Sin plaza parking,
Piso la elegancia de lo clásico en Esquerra Baixa de l´Eixample Barcelona,1.200.000 €,149,2,3,Sin plaza parking,
Piso magnífico esquinero con parquing incluido en Barcelona,960.000 €,240,4,2,Plaza parking ,
"Piso  con 4 habitaciones, ascensor, calefacción, aire acondicionado y terraza en Barcelona",549.000 €,125,4,2,Sin plaza parking,
Piso passeig de gràcia en Dreta de l´Eixample Barcelona,2.690.000 €,178,2,3,Sin plaza parking,
Piso oportunidad en Baix Guinardó Barcelona,250.000 €,65,2,1,,
