	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCION	FECHA_APROBACION	NOMBRES_ANTERIORES	DISTRICTOS
3301	342401	Camí	Camí de Cal Totxo	Camí Cal Totxo	Corrupción de <i>tres lleis</i>, antes <i>Trium Legem</i>, referidas a las jurisdicciones de las parroquias de Santa María del Pi, de San Jaime y de San Miguel (según Pi i Arimon). Bofarull cree que es el nombre de un burdel, el más popular de los diversos burdeles que existían en la calle. Otras fuentes hacen derivar el nombre de <i>tras litg</i>, cambio de leyes que hicieron los judíos al convertirse.		Còdols	CIUTAT VELLA (01)
3302	342503	C	Carrer del Treball	Treball	Toponímico referido a un popular lugar con tres pinos y una fuente, donde se hacían meriendas y comidas campestres. Allí existió un barrio de chabolas.	 ( )		SANTS-MONTJUÏC (03)
3303	342605	Ptge	Passatge del Treball	Ptge Treball	Nombre de una taberna que tenía como muestra a los tres reyes: el rey de espadas, el rey de oros y el rey de copas, recordando que el rey de bastos era el dueño de la taberna, ya que exhibía, cuando se producía un escándalo -cosa frecuente en la taberna-, una magnífica estaca para poner orden.		Tres Reyes; Santos Reyes, 1862	SARRIÀ-SANT GERVASI (05)
3304	342707	C	Carrer de Travau	Travau	Las esposas de Torrente, Masens y Rabassa: Mercè Frígola i Poch, Teresa Rabassa i Puig y Teresa Batet, respectivamente. El 29 de abril de 1861, los mencionados Torrente, Masens, y Rabassa adquirieron un lote de tres terrenos de tierra procedentes de la heredad Alegre de Dalt. Al urbanizar la propiedad, los tres se pusieron de acuerdo para dedicar una calle a sus mujeres. Por la proximidad de la calle de Martí, en algún documento se menciona que se trataba de la mujer de Martí. Ramon Martí i Dalius murió en 1853 y su hijo Ramon Martí d'Eixalà, en 1857, mucho antes de la compra de los terrenos y del proyecto de urbanización.		Tres Señoras	GRÀCIA (06)
3305	342809	C	Carrer de la Tradició	Tradició	Toponímico por las primeras tres torres construidas en el lugar.	09/04/1940 ( )	Regina Pacis; Tres Torres; Regina Pacis; Parthenón; Virgen del Rosario (Ajuntament de Sarrià)	SARRIÀ-SANT GERVASI (05)
3306	342900	C	Carrer de Trafalgar	Trafalgar	Forma triángulo con las calles del Corretger y del Rec. Se autorizó la edificación de la manzana triangular a mediados del siglo XVIII: había resultado de los derribos de casas que motivó la construcción de la Ciudadela.		Triángulo	CIUTAT VELLA (01)
3307	343007	C	Carrer del Tragí	Tragí	Antoni Trilla i Trilla (Lleida, Segrià 1741 - Barcelona 1801). Abogado de la Real Audiencia. Abogado de pobres. Viudo en primeras nupcias de Magdalena Escarabatxeras i Blanch y casado en segundas con Francesca Pérez i Nogués, viuda Xuclà. Propietario de los terrenos donde se abrió la calle. Dedicado por su nuera Àgata Badia i Puigrodon al urbanizar la finca Casa del Simó.			GRÀCIA (06)
3308	343200	Via	Via Trajana	Via Trajana	"Antoni Trilla i Escarabatxeras (Lleida, Segrià 1769 - Barcelona 1824). Abogado y propietario de los terrenos donde se abrió la plaza. Firmaba con el segundo apellido de la madre: Blanch en lugar de Escarabatxeras. Su viuda solicitó, en el año 1825, urbanizar la heredad Casa del Simó que después fue conocida por ""Torre Trilla"". La plaza tenía que llamarse de Sant Antoni, por el nombre de pila de su marido, de la misma manera que ella tenía dedicada la calle de Santa Àgata. Los cambios de nombre de la plaza fueron constantes; se llamó de la Reina Amàlia -nombre de la tercera mujer de Fernando VII-, de Sant Antoni y -tras la muerte de la Reina Amalia- pasó a llamarse de la Reina Cristina, cuarta mujer de Fernando VII. Tras la abdicación de esta reina el nombre de la plaza acabó llamándose de Trilla. Hemos respetado la denominación Sant Antoni anterior que nos indica que la intención era dedicar el nombre al marido de Àgata: Antoni Trilla."		Reina Cristina, any 1836; Sant Antoni, any 1825; Reina Amàlia, any 1824	GRÀCIA (06)
3309	343302	C	Carrer de Trajà	Trajà	Debe su nombre a Trilla, municipio de la provincia de Guadalajara.	21/12/1988 ( )	Trill, 1980; Trillo	HORTA-GUINARDÓ (07)
3310	343404	C	Carrer de la Tramuntana	Tramuntana	El nombre recuerda la existencia del convento de la Trinidad, de los frailes trinitarios calzados, actualmente iglesia de San Jaime.		Trinidad; Francisco Ascaso	CIUTAT VELLA (01)
3311	343506	Pl	Plaça del Transvaal	Pl Transvaal	Por el nombre de la barriada. Topónimo documentado en el año 1260, referente al nombre de una ermita puesta bajo esta advocación, citada en documentos de los siglos XV y XVI. Los franceses la incendiaron en el año 1808.		Trinidad; Besòs; CNT	SANT ANDREU (09)
3312	343700	C	Carrer de Trapani	Trapani	El nombre recuerda el antiguo frontón o juego de pelota de Sarrià.	07/03/1939 ( )	Trinquete; Fleca, 25/09/1931; Trinquete, 18/05/1927; Fleca (Ajuntament de Sarrià); Estrella, abans de 1888	SARRIÀ-SANT GERVASI (05)
3313	343801	Ptge	Passatge de la Travessera	Ptge Travessera	Francesc Trinxant i Morera (? 1793 - Martorell, Baix Llobregat 1871). Propietario de la finca donde se abrió la calle. Le sucedió su hijo Josep Trinxant i Casamitjana (1825 - 1907), el nieto Pere Trinxant i Reixach y finalmente Josep Trinxant i Bertran. Las tierras habían sido propiedad del marqués de Castellbell.	07/07/1942 ( )	Castilla (2n tram); Trinxant, abans de 1869; Núm. 51 (Pla Cerdà)	SANT ANDREU (09) SANT MARTÍ (10)
3314	343903	Trav	Travessera de les Corts	Trav Corts	"Apellido de familia catalana, con el que eran conocidas, por lo menos, dos calles de la Barcelona antigua: la ""d'en Tripó de l'Àngel"", que desembocaba en el Portal de l'Àngel, y la ""d'en Tripó de Rere Palau"", que hoy sigue conservando el nombre sin el añadido que servía para localizarlo. En documentos del siglo XIV ya se menciona la calle <i>d'en Tripó</i> (1316)."		Salcet	CIUTAT VELLA (01)
3315	344000	Trav	Travessera de Dalt	Trav Dalt	Nombre popular con el que se conoce la calle que asume el nombre del barrio.	07/07/1987 ( )	Pg. del Triomf; Pº del Triunfo; Núm. 50 (Pla Cerdà)	SANT MARTÍ (10)
3316	344101	Trav	Travessera de Gràcia	Trav Gràcia	En esta calle vivían los pregoneros de la ciudad.			CIUTAT VELLA (01)
3317	344305	C	Carrer de la Travessia	Travessia	Las dos calles de Barcelona con el nombre de <i>trompetes</i> hacen referencia a los trompeteros, pregoneros a sueldo que, con autorización de la autoridad, hacían los llamamientos al vecindario.		Trompetas de Jaime I	CIUTAT VELLA (01)
3318	344407	Trvs	Travessia de Sant Antoni	Trvs Sant Antoni	Debe su nombre al troquel, la herramienta. Calle que pertenece al polígono industrial de la Zona Franca, donde son mayoría los viales dedicados a herramientas y materiales de uso común en la industria.	25/06/1958 ( )	Troquel; Cº Puente de las Vacas	SANTS-MONTJUÏC (03)
3319	344633	C	Carrer de la Traviata	Traviata	El nombre fue dado probablemente a la calle, en recuerdo del drama romántico de Antonio García Gutiérrez <i>El trovador</i>, en el que se basó el tema de <i>Il trovatore</i>, de Verdi.		Trovador	HORTA-GUINARDÓ (07)
3320	344702	C	Carrer del Trèvol	Trèvol	Antonio de Trueba y de la Quintana  (Montellano, Vizcaya 1819 - Bilbao 1889). Poeta y narrador costumbrista vasco, en lengua castellana.	 ( )		HORTA-GUINARDÓ (07)
3321	344804	C	Carrer de Tremp	Tremp	"Jacint Trullàs i Payarol, fabricante. En el siglo pasado, una barriada se llamaba ""d'en Trullàs"" o ""d'en Trulla""."	30/07/1929 ( )	Trullá	SANT MARTÍ (10)
3322	344906	C	Carrer de les Tres Creus	Tres Creus	Debe su nombre al tulipán. Espacio urbano del barrio del Rectoret, donde numerosos viales están dedicados a plantas y flores.	10/04/1981 ( )	Univers	SARRIÀ-SANT GERVASI (05)
3323	345002	C	Carrer dels Tres Llits	Tres Llits	Calle abierta en terrenos que fueron de la heredad Mas Besora, de la familia Gualba. Al cierre de esta edición no ha podido identificarse al supuesto personaje apellidado Trullols.			GRÀCIA (06)
3324	345068	C	Carrer dels Tres Pins	Tres Pins	Por la misma dedicación que la calle que es prolongación. Ambos viales se encuentran separados por la calle de Novell.	01/10/1924 ( )	C. de Tobella	LES CORTS (04)
3325	345104	C	Carrer dels Tres Reis	Tres Reis	Debe su nombre a Tucumán, provincia de la República Argentina, en la región norte. Calle que pertenece al polígono industrial del Bon Pastor, donde los viales están dedicados a ciudades y lugares de América Latina.	25/05/1966 ( )	Jamaica	SANT ANDREU (09)
3326	345206	C	Carrer de les Tres Senyores	Tres Senyores	Debe su nombre al Túria, río mediterráneo de la península Ibérica. Calle que forma conjunto con los viales dedicados a ríos: Segura, Jalón, Nerbión, Guadalquivir y Guadalete, en la misma barriada del Polvorí.	15/01/1958 ( )		SANTS-MONTJUÏC (03)
3327	345308	C	Carrer de les Tres Torres	Tres Torres	El nombre obedece a la situación de la calle, que desde la calle del Mont d'Orsà sube hacia una pequeña colina.	 ( )	Lletra E (urb. El Turó)	SARRIÀ-SANT GERVASI (05)
3328	345501	C	Carrer del Triangle	Triangle	Camino que da acceso a la colina así denominada.	07/07/1987 ( )		SARRIÀ-SANT GERVASI (05)
3329	345658	C	Carrer de Trilla	Trilla	Como la anterior, con un adjetivo popular. Orònim antiguo de la sierra de Collserola.	 ( )		NOU BARRIS (08)
3330	345807	Pl	Plaça de Trilla	Pl Trilla	Orónimo documentado en este lugar desde el año 987.	11/04/2000 ( )	Jardins del Turó de Monterols, 12/06/1980; Turó de Can Gil, 06/09/1917	SARRIÀ-SANT GERVASI (05)
3331	345909	C	Carrer de Trillo	Trillo	En referencia a la masía Ca la Peira que existió en la vertiente de la colina que fue propiedad del marqués de Castellbell.	 ( )		NOU BARRIS (08)
3332	346005	C	Carrer de la Trinitat	Trinitat	Colina situada junto a los dominios de Pere Labèrnia i Carreras, propietario del lugar.		Turó de la Rubira	HORTA-GUINARDÓ (07)
3333	346209	Pl	Plaça de la Trinitat	Pl Trinitat	Pere Turull i Comadran (Sabadell, Vallès Occidental 1852 - Barcelona 1924). Propietario de los terrenos desde finales del siglo XIX, que parceló en un magnífico lugar boscoso.		Camí Antic de València	GRÀCIA (06)
3334	346300	C	Carrer del Trinquet	Trinquet		 ( )		GRÀCIA (06)
3335	346402	C	Carrer de Trinxant	Trinxant	El nombre proviene del Camp d'en Tuset, antigua masía y propiedad. Según CC, <i>Tusset</i> en lugar de <i>Tuset</i>.	 ( )		SARRIÀ-SANT GERVASI (05)
3336	346606	C	Carrer d'en Tripó	Tripó	Debe su nombre a Ulldecona, municipio del Montsià. Calle situada en el grupo de casas Eduard Aunós, donde los viales están dedicados a lugares y pueblos de Cataluña.	29/05/1945 ( )	Núm. 7	SANTS-MONTJUÏC (03)
3337	346800	Rbla	Rambla del Poblenou	Rbla Poblenou	Calle del polígono industrial del Consorcio de la Zona Franca de Barcelona, donde, con alguna excepción, las calles designadas con letras siguen a la dirección norte-sur y las designadas con números la dirección este-oeste.	16/02/1968 ( )		SANTS-MONTJUÏC (03)
3338	346901	C	Carrer de les Trompetes	Trompetes	Roca esquistosa en forma laminar, que abunda mucho en la cordillera de Collserola.	29/06/1987 ( )	Lletra U (Vallvidrera)	SARRIÀ-SANT GERVASI (05)
3339	347008	C	Carrer de les Trompetes de Jaume I	Trompetes Jaume I	El general Blanco, que sustituyó al general español Weyler en la guerra de Cuba, concedió en nombre de la metrópolis la autonomía a Cuba. Se festejó este hecho, que representó para el pueblo el cese del baño de sangre de esta guerra, dando el nombre a la calle.	20/12/1979 ( )	Unidad; Autonomia, 1907; Libertad	SANTS-MONTJUÏC (03)
3340	347100	C	Carrer de l'Encuny	Encuny	"Golpe de Estado, conocido como ""la Gloriosa"", promovido por los generales Prim, Topete y Serrano, con el objetivo de destronar a Isabel II."	28/03/1983 ( )	Unificació, 12/06/1980; Unificación, 13/03/1940; Revolución; Isabel II	GRÀCIA (06)
3341	347201	C	Carrer del Trobador	Trobador	"Se proyectó para unir la calle del Marquès de Barberà con la rambla dels Caputxins, hacia los años 1836-1840. Según Roca i Comas, el nombre ""parece responder al deseo de unión y de finalización de las frecuentes y trágicas discordias de aquellas fechas"". Pero según un documento municipal se trata del Conde de la Unión, Luís Fermín de Carvajal i Vargas, que había sido gobernador y capitán general del Principado, presidente de la Audiencia y general en jefe del ejército del Rosellón, versión que se considera más correcta."		Unión	CIUTAT VELLA (01)
3342	347303	C	Carrer de Trueba	Trueba	El nombre ya está documentado en el año 1856. Dedicado al partido Unión Liberal. Francesc Castanys y Rafael Degollada, destacados dirigentes de este partido, eran propietarios de los terrenos donde se urbanizó la plaza.		Unión	SANT MARTÍ (10)
3343	347405	Ptge	Passatge de Trullàs	Ptge Trullàs	Nada más que un adjetivo ambicioso. Su apertura se aprobó en el año 1915.			HORTA-GUINARDÓ (07)
3344	347450	Pl	Plaça de la Tulipa	Pl Tulipa	Por la Universidad, que da enfrente, construida en 1874 por Elies Rogent. El Consejo de Ciento, en el año 1536, construye en lo alto de la Rambla el Estudio General, en el que se reunían las enseñanzas dispersas en diferentes albergues de la calle d'en Ripoll. Su actividad persiste hasta 1714, cuando Felipe V convierte el edificio en cuartel y traslada la Universidad a Cervera. Se reinstala en Barcelona en el año 1837 en el exconvento del Carme, lugar que ocupa hasta 1874.		Universidad	CIUTAT VELLA (01) EIXAMPLE (02)
3345	347507	C	Carrer de Trullols	Trullols	Construida hacia 1872 cerca de los terrenos de los glacis de la muralla dels Tallers. Su nombre proviene del hecho de que conduce a la plaza de la Universidad.	23/01/1872 ( )	Universidad; Ronda (una part)	EIXAMPLE (02)
3346	347529	Ptge	Passatge de Tubella	Ptge Tubella	Debe su nombre al acebuche, el arbusto. Calle de la barriada del Rectoret, donde se encuentra un grupo de viales dedicados a plantas y arbustos.	10/04/1981 ( )	Univers	SARRIÀ-SANT GERVASI (05)
3347	347551	C	Carrer de Tucumán	Tucumán	Nombre que fue dado al inaugurarse la Exposición Internacional del año 1929.		Universo	SANTS-MONTJUÏC (03)
3348	347802	C	Carrer del Túria	Túria	Debe su nombre al uranio, el metal. La Comisión de Urbanismo de Barcelona aprobó el plan parcial del sector Gran Via sur, que desarrolló fundamentalmente el suelo de uso industrial. Una serie de calles se dedicarían a materiales afines con temas industriales como el acero, el bronce, el hierro, el plomo, etc.		Uranio	SANTS-MONTJUÏC (03)
3349	347904	C	Carrer del Turó	Turó	Debe su nombre al melocotonero, el árbol frutal. Forma parte de un conjunto de calles con nombres de árboles y arbustos.	10/04/1981 ( )	Urani	SARRIÀ-SANT GERVASI (05)
3350	347948	Camí	Camí del Turó de l'Alzina	Camí Turó Alzina	Abierto en terrenos que fueron de Anselm Riu Fontanillas. Al cierre de esta edición no se había identificado todavía al supuesto personaje a que hace referencia el nombre del pasaje.	 ( )		EIXAMPLE (02)
3351	348102	C	Carrer del Turó Blau	Turó Blau	Jaime II de Urgell, llamado el Desdichado (Balaguer, La Noguera 1378/1380 - Castillo de Játiva 1433). Conde de Urgell y vizconde de Àger. Barón de Entenza. Hijo de Pedro II de Urgell y de Margarita de Montferrat. Fue encarcelado y destituido de su condado por Fernando de Antequera.	12/06/1980 ( )	Urgel, 07/03/1939; Conde de Urgel; Urgel; Núm. 20 (Pla Cerdà)	EIXAMPLE (02)
3352	348135	Parc	Parc de Monterols	Parc de Monterols	"José de Urrutia y de las Casas (Zalla-La Herrera, Vizcaya 1739 - Madrid 1803). Militar de origen vasco. Capitán general de Cataluña de 1794 a 1796. Fue el reorganizador de los somatenes armados del Principado. Consiguió finalizar la Guerra Grande (1795). La masía del término municipal de Badalona llamada popularmente ""Can Ruti"" fue construida por su padre, el noble Juan de Urrutia."	19/11/1929 ( )	Cº de Casa Carreras	HORTA-GUINARDÓ (07) NOU BARRIS (08)
3353	348157	Parc	Parc del Turó de la Peira	Parc Turó Peira	Debe su nombre a Uruguay, república sudamericana. Forma conjunto con la calle del Riu de la Plata, situada en el mismo barrio del Coll.	13/01/1933 ( )	Uruguay; Lletra B	GRÀCIA (06)
3354	348204	C	Carrer del Turó de la Rovira	Turó de la Rovira	Josep Utset i Fonullà (Mataró, Maresme 1839 - Barcelona 1904). Platero. Marido de Anna Romans i Jordà, propietaria de los terrenos adjudicados por su madre Francesca Jordà i Gelabert y su hermano Eugeni en el año 1873. Los terrenos que pertenecían a la finca Torre Xica fueron propiedad de Ramon de Sentmenat i de Saenz, marqués de Castelldosrius.	 ( )		EIXAMPLE (02)
3355	348306	Pg	Passeig de Turull	Pg Turull	Agustí Mauri Pareras (Palamós, 1820 - Barcelona ). Pilot nàutic, inventor del sistema de senyals instal¿lat a la part alta de la torre del Castell de Montjuïc. Un accident sofert l¿any 1852, mentre realitzava una guàrdia en ple temporal marítim, li va provocar la pèrdua d¿una cama, i això li impediria embarcar-se més. Va invertir temps i diners propis en el disseny d¿un sistema de senyals que fos útil a la navegació. Consistia en un sistema de 220 senyals, les diferents combinacions dels quals aportaven informació dels diversos tipus de bucs mercants i de navilis de guerra que s'apropaven al port, la ruta per la qual s'aproximaven i la companyia naviliera i el país al qual pertanyien. El 1858, va presentar al Govern el seu sistema, que va ser acceptat i instal·lat a Montjuïc.3	25/04/2014 ( )	V (Zona Franca)	SANTS-MONTJUÏC (03)
3356	348350	Ptge	Passatge de Turull	Ptge Turull	Debe su nombre a Vacarisses, municipio del Vallès Occidental. Calle que pertenece al barrio de Torre Baró, donde la mayoría de los viales están dedicados a pueblos y lugares de Cataluña.	 ( )		NOU BARRIS (08)
3357	348408	C	Carrer de Tuset	Tuset	Debe su nombre a Valencia. Principal ciudad del País Valenciano y segunda de los Países Catalanes. Conquistada por Jaime I en 1238, creó instituciones propias, paralelas a las de Cataluña, y la repobló de catalanes de la zona occidental del Principado.	19/12/1863 ( )	Lletra K (Pla Cerdà)	EIXAMPLE (02) SANT MARTÍ (10)
3358	348500	C	Carrer d'Ulldecona	Ulldecona	Valentí Almirall i Llozer (Barcelona 1841 - 1904). Político y escritor. Una de las figuras más importantes del resurgimiento político catalán. En el año 1879 publicó <i>El Diari català</i>, el primero en lengua catalana.	17/03/1908 ( )	Valentín Almirall; Constitución	SANT MARTÍ (10)
3359	348554	C	Carrer U Zona Franca	U Zona Franca	Valentí Iglésias i Riera (Sant Martí Sesgueioles, Anoia 1844 - Barcelona 1916). Propietario de los terrenos donde se abrió la calle. Su hijo Valentí Iglésias i Abelló, que murió en 1966, fue concejal de la barriada en 1922 y en 1930.	10/05/1917 ( )	Valentín Iglésias	SANT ANDREU (09)
3360	348576	C	Carrer de la Llicorella	Llicorella	Familia de actores teatrales españoles: José (Sevilla 1808 - Barcelona 1891), su hijo Ricardo y los hermanos de José, Josefa y Isidoro (éste finado en Barcelona en 1906).	07/03/1939 ( )	Flos i Calcat, 13/01/1933; De Valero, 05/09/1907; Tort, 05/01/1876	SARRIÀ-SANT GERVASI (05)
3361	348703	C	Carrer de l'Autonomia	Autonomia	Josep Valeta d'Arquer (Arenys de Mar, Maresme 1876 - Barcelona 1947). Abogado. Propietario de los terrenos que urbanizó en la antigua finca de los Fontcuberta-Dalmases.	26/06/1946 ( )	Valeta de Arquer	SARRIÀ-SANT GERVASI (05)
3362	348805	Pl	Plaça de la Revolució de Setembre de 1868	Pl Revolució 1868	Gabriel de Vallseca (Barcelona ? - Mallorca siglo XV). Cartógrafo y pintor de origen judío. Se conservan mapamundis con su firma en Barcelona (1439), en París (1447) y en Florencia (1449).	10/12/1929 ( )	Valseca; Salud (prolongació)	HORTA-GUINARDÓ (07)
3363	348907	C	Carrer de la Unió	Unió	Por la misma dedicación que la calle.	07/07/1942 ( )	Valseca; Salud	HORTA-GUINARDÓ (07)
3364	349003	Pl	Plaça de la Unió	Pl Unió	Debe su nombre a Valladolid, ciudad de Castilla-León.	 ( )	Durán	SANTS-MONTJUÏC (03)
3365	349105	Pg	Passeig Universal	Pg Universal	Cuartel de Vallbona. Antes se llamaba Jorba (año 991). Histórica propiedad feudal. Dominio directo del marqués de la Manresana que pasó a Manuel Maria de Sivatte i Llopart.	 ( )		NOU BARRIS (08)
3366	349207	Pl	Plaça de la Universitat	Pl Universitat	Valle glacial de la Baixa Cerdanya (Lles). Calle del barrio de Ciutat Meridiana, donde los viales están dedicados, en su mayoría, a lugares y orónimos de Cataluña.	28/06/1965 ( )	Vallcibera	NOU BARRIS (08)
3367	349309	Rda	Ronda de la Universitat	Rda Universitat	Pablo Iglesias Posse (Ferrol, La Coruña 1850 - Madrid 1925). Político y dirigente socialista gallego. Fundador del PSOE (1879).	11/03/1991 ( )	Valldaura	NOU BARRIS (08)
3368	349386	C	Carrer de l'Ullastre	Ullastre	Antoni (el Poal, Pla d'Urgell 1666 - Viena 1724) y Manuel (? 1674 - Viena 1774) Desvalls i de Vergós. Militares y políticos catalanes partidarios de los Austrias, más conocidos como Caballeros de Poal (1666-1774).	27/01/1984 ( )	Camí de Valldaura	HORTA-GUINARDÓ (07)
3369	349400	Pl	Plaça de l'Univers	Pl Univers	Este nombre se dio para recordar el antiguo monasterio cisterciense del municipio de Cerdanyola del Vallès, en las vertientes septentrionales de la sierra de Collserola, en el límite del término de Barcelona. Fue residencia real de Jaime II.	14/06/1927 ( )	Ctra. Cornellá a Fogás de Tordera (un tram)	HORTA-GUINARDÓ (07) NOU BARRIS (08)
3370	349502	C	Carrer de l'Urani	Urani	Debe su nombre a Valldemossa, municipio de Mallorca Occidental.	28/06/1950 ( )	Valldemosa	NOU BARRIS (08)
3371	349579	C	Carrer del Presseguer	Presseguer	Recuerda el Real Monasterio de Santa María de Valldonzella, de religiosas cistercienses, establecido en la antigua Casa de Nazaret desde 1670, y que fue quemado durante la Semana Trágica (1909).		Valldoncella; Natzaret; Company	CIUTAT VELLA (01)
3372	349604	Ptge	Passatge d'Ureña	Ptge Ureña	Debe su nombre a Valldoreix, lugar del municipio de Sant Cugat del Vallès. Nombre tradicional derivado de <i>Vall Aurex</i> o <i>Aurexio</i>, de los siglos X-XI. Tiene que sustituir la forma <i>Valldoreig</i>, incorrecta en grafía y en pronunciación.	28/04/1956 ( )	San Cugat del Vallés (1r tram); San Vicente	GRÀCIA (06)
3373	349706	C	Carrer del Comte d'Urgell	Comte d'Urgell	Debe su nombre al Vall d'Aran, valle de los Pirineos, en el extremo noroeste de Cataluña. Comarca del Principado.	30/07/1929 ( )	Valle de Arán; Vall d'Aran, 05/09/1907; Merced	SANT ANDREU (09)
3374	349808	Pg	Passeig d'Urrutia	Pg Urrutia	Por la misma dedicación que el paseo.	28/01/1959 ( )	Valle de Hebrón	HORTA-GUINARDÓ (07)
3375	349900	C	Carrer de l'Uruguai	Uruguai	Por el monasterio de San Jerónimo de la Vall d'Hebron, promovido por Violant de Bar, que existió de 1313 a 1835. Hospedó a los Reyes Católicos.	14/06/1927 ( )	Valle de Hebrón; Ctra. Cornellá a Fogás de Tordera (un tram)	GRÀCIA (06) HORTA-GUINARDÓ (07)
3376	350104	Ptge	Passatge d'Utset	Ptge Utset	Debe su nombre al Valle de Ordesa, valle de los Pirineos, en Aragón.		Valle de Ordesa	NOU BARRIS (08)
3377	350159	C	Carrer V Zona Franca	V Zona Franca	Debe su nombre al Vallès, comarca catalana, dividida en Vallès Oriental y Vallès Occidental.	05/09/1907 ( )	Vallés; Clavé	SANT ANDREU (09)
3378	350206	C	Carrer de Vacarisses	Vacarisses	Debe su nombre al Vallespir, comarca de la Cataluña Norte. En recuerdo del vizcondado de Vallespir, del que fue representante Guillermo I (muerto después de 1028), vizconde de Vallespir y de Castellnou.	07/07/1942 ( )	Ctra. de les Corts; Colón (abans de 1877)	SANTS-MONTJUÏC (03) LES CORTS (04)
3379	350308	C	Carrer de València	València	Debe su nombre a Vallfogona de Riucorb, municipio de la Conca de Barberà.			GRÀCIA (06)
3380	350603	Pl	Plaça de Valentí Almirall	Pl V Almirall	Estirpe de propietarios de las tierras del lugar. Pau Vallhonrat i Font (1763 - 1838), payés de la Marina d'Hospitalet. Gabriel Vallhonrat i Casas (1797 - 1870). Joan Vallhonrat i Soler (Cornellà de Llobregat, Baix Llobregat 1839 - 1910). La calle se supone que está dedicada a Gabriel Vallhonrat, ya que el nombre del vial está documentado muy poco tiempo después de su muerte.			SANTS-MONTJUÏC (03)
3381	350705	C	Carrer de Valentí Iglésias	Valentí Iglésias	Debe su nombre a Vallirana, municipio del Baix Llobregat.	05/09/1907 ( )	Cruz; San Joaquín	SARRIÀ-SANT GERVASI (05)
3382	350807	C	Carrer dels Valero	Valero	Rosa Vallmajor i Canet (Dosrius, Maresme 1778 - ?), mujer de Magí Modolell i Negrevernis, propietario del terreno donde se abrió la calle.	05/01/1876 ( )		SARRIÀ-SANT GERVASI (05)
3383	350909	C	Carrer de Valeta d'Arquer	Valeta d'Arquer	Agapit Vallmitjana i Barbany (Barcelona 1833 - 1905). Escultor. Realizó obras para el cementerio viejo o del Poblenou. Según RiC, la calle se llamaba inicialmente calle de los Vallmitjana, honrando además de a Agapit Vallmitjana a su hermano Venanci (Barcelona 1829 - 1919), autor, entre otras, de las estatuas de Ramon Llull, Sant Isidor y Averrois situados en el vestíbulo de la Universidad de Barcelona.	17/03/1908 ( )	Muntaner	SANT MARTÍ (10)
3384	351107	C	Carrer de Vallseca	Vallseca	Debe su nombre a Valls, municipio del Alt Camp.	05/09/1907 ( )	Campamento (2n tram); Salud	SANTS-MONTJUÏC (03)
3385	351209	Ptge	Passatge de Vallseca	Ptge Vallseca	Toponímico por la fuente de Vallpar, muy conocida por la calidad del agua.	 ( )		GRÀCIA (06)
3386	351300	C	Carrer de Valladolid	Valladolid	Camino de la cresta.	 ( )		SARRIÀ-SANT GERVASI (05)
3387	351402	Av	Avinguda de Vallbona	Av Vallbona	Lleva a la barriada barcelonesa situada en la cordillera de Collserola.	25/09/1931 ( )	C. Ortons; C. San Carlos	SARRIÀ-SANT GERVASI (05)
3388	351606	C	Carrer de Vallcivera	Vallcivera	En referencia al antiguo pueblo de Vallvidrera.	 ( )		SARRIÀ-SANT GERVASI (05)
3389	351708	C	Carrer de Pablo Iglesias	Pablo Iglesias	Por el nombre del lugar.	 ( )		SARRIÀ-SANT GERVASI (05)
3390	351800	C	Carrer dels Germans Desvalls	Germans Desvalls	Carretera que enlaza con la de Sant Cugat antes de bajar hacia la ciudad de Barcelona.	 ( )		SARRIÀ-SANT GERVASI (05) HORTA-GUINARDÓ (07)
3391	351901	Pg	Passeig de Valldaura	Pg Valldaura	En recuerdo de las excavaciones que se hacían en las playas para botar embarcaciones.	 ( )	Varadero	CIUTAT VELLA (01)
3392	352008	C	Carrer de Valldemossa	Valldemossa	Debe su nombre a Varsovia, ciudad polaca, capital del estado.	17/01/1923 ( )	Tramvia; Teléfono	HORTA-GUINARDÓ (07)
3393	352100	C	Carrer de Valldonzella	Valldonzella	El País Vasco.	05/09/1907 ( )	Vasconia; Riego, abans de 1900	SANT ANDREU (09)
3394	352201	C	Carrer de Valldoreix	Valldoreix	Joaquim Vayreda i Vila (Girona 1843 - Olot, La Garrotxa 1894). Pintor. Fundador de la escuela de Olot. Presidente de la primera Asamblea Catalanista de Manresa (1892) y fundador del Centro Catalanista. Fue concejal de Barcelona.	 ( )		HORTA-GUINARDÓ (07)
3395	352303	C	Carrer de la Vall d'Aran	Vall d'Aran	Juan Vázquez de Mella y Fanjul (Cangas de Onís 1861 - Madrid 1928). Abogado, político tradicionalista y escritor. De gran y brillante oratoria.	19/11/1929 ( )	Mariscal Joffre; Estanislao Figueras	SANTS-MONTJUÏC (03)
3396	352405	Pl	Plaça de la Vall d'Hebron	Pl Vall d'Hebron	Debe su nombre a Vecinana, municipio de la Anoia. Calle que forma conjunto con las de Cardedeu, Manlleu, Palou, Capellades y Montornès, en la misma barriada. En el nomenclátor de 1980 se dedicó a Pere Anton Veciana i Rabassa (Sarral, Conca de Barberà 1677 - Valls, Alt Camp 1736). Alcalde de Valls. Fundador de las Escuadras de Cataluña (cuerpo de los Mossos d'esquadra).	23/12/1946 ( )	Núm. 6	GRÀCIA (06)
