name,ISIN,Ticker,Fund CCY,Fund size [M],TER in % p.a.,1Y in %,3Y in %,5Y in %,2020 in %,2019 in %,2018 in %,2017 in %
UBS ETF (LU) Bloomberg Barclays USD Emerging Markets Sovereign UCITS ETF (USD) A-dis,LU1324516050,UEFS,USD,78,0.42%,7.79%,15.23%,23.03%,-4.22%,16.19%,0.63%,-2.68
UBS ETF (LU) Euro Stoxx 50 ESG UCITS ETF (EUR) A-dis,LU1971906802,E5ESG,EUR,11,0.15%,42.39%,-,-,0.13%,-,-,-
UBS ETF (LU) EURO STOXX 50 UCITS ETF (EUR) A-dis,LU0136234068,E50EUA,EUR,428,0.15%,42.70%,27.07%,58.62%,-2.96%,28.76%,-11.61%,9.68
UBS ETF (LU) Factor MSCI EMU Low Volatility UCITS ETF (EUR) A-dis,LU1215454460,UIMY,EUR,55,0.28%,25.00%,13.56%,35.42%,-8.06%,22.98%,-6.80%,14.36
UBS ETF (LU) Factor MSCI EMU Prime Value UCITS ETF (EUR) A-dis,LU1215452928,UIMZ,EUR,139,0.28%,45.92%,20.45%,58.60%,-0.17%,23.56%,-14.68%,13.48
UBS ETF (LU) Factor MSCI EMU Quality UCITS ETF (EUR) A-dis,LU1215451524,UIM2,EUR,135,0.28%,39.54%,37.27%,73.77%,5.72%,30.84%,-10.44%,13.65
UBS ETF (LU) FTSE 100 UCITS ETF (GBP) A-dis,LU0136242590,100GBA,GBP,95,0.20%,28.35%,9.07%,25.79%,-16.50%,23.00%,-9.73%,7.83
UBS ETF (LU) J.P. Morgan CNY China Government 1-10 Year Bond UCITS ETF (USD) A-acc,LU2095995895,JC11,USD,117,0.33%,-,-,-,-,-,-,-
UBS ETF (LU) J.P. Morgan EM Multi-Factor Enhanced Local Currency Bond UCITS ETF (USD) A-dis,LU1720938841,EMLOC,USD,120,0.47%,7.31%,-,-,-6.58%,15.59%,-,-
UBS ETF (LU) J.P. Morgan Global Government ESG Liquid Bond UCITS ETF (USD) A-acc,LU1974693662,ESGGB,USD,63,0.15%,-6.36%,-,-,0.31%,-,-,-
UBS ETF (LU) J.P. Morgan USD EM Diversified Bond 1-5 UCITS ETF (hedged to EUR) A-acc,LU1645386480,SHEME,EURHedged,278,0.47%,13.64%,3.67%,-,1.34%,4.37%,-,-
UBS ETF (LU) J.P. Morgan USD EM Diversified Bond 1-5 UCITS ETF (hedged to EUR) A-dis,LU1645386308,SHEMD,EURHedged,16,0.47%,13.43%,-,-,1.37%,-,-,-
UBS ETF (LU) J.P. Morgan USD EM Diversified Bond 1-5 UCITS ETF (USD) A-dis,LU1645385839,SEAA,USD,102,0.42%,4.76%,14.36%,-,-5.81%,9.72%,4.21%,-
UBS ETF (LU) J.P. Morgan USD EM IG ESG Diversified Bond UCITS ETF (hedged to EUR) A-acc,LU1974696418,ESGEME,EURHedged,320,0.50%,9.84%,-,-,6.95%,-,-,-
UBS ETF (LU) J.P. Morgan USD EM IG ESG Diversified Bond UCITS ETF (USD) A-acc,LU1974695790,ESGEMD,USD,134,0.45%,1.45%,-,-,-0.50%,-,-,-
UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-dis,LU0446734872,CANCDA,CAD,"1,161",0.33%,41.05%,38.08%,56.72%,-3.39%,29.29%,-13.17%,2.17
UBS ETF (LU) MSCI China ESG Universal UCITS ETF (USD) A-dis,LU1953188833,CNESG,USD,102,0.65%,34.72%,-,-,19.46%,-,-,-
UBS ETF (LU) MSCI Emerging Markets Socially Responsible UCITS ETF (USD) A-dis,LU1048313891,MSRUSA,USD,817,0.27%,50.12%,20.22%,53.79%,6.60%,13.33%,-7.70%,16.43
UBS ETF (LU) MSCI Emerging Markets SRI UCITS ETF (USD) A-acc,LU1048313974,MSRUSB,USD,156,0.27%,49.95%,-,-,7.41%,-,-,-
UBS ETF (LU) MSCI Emerging Markets UCITS ETF (USD) A-dis,LU0480132876,EMMUSA,USD,"1,941",0.23%,43.01%,26.76%,73.93%,7.85%,20.94%,-10.98%,20.13
UBS ETF (LU) MSCI EMU Select Factor Mix UCITS ETF (EUR) A-acc,LU1804202403,-,EUR,47,0.34%,40.43%,-,-,0.20%,25.94%,-,-
UBS ETF (LU) MSCI EMU Small Cap UCITS ETF (EUR) A-dis,LU0671493277,UEFD,EUR,114,0.33%,58.85%,28.16%,73.17%,5.66%,28.36%,-17.27%,24.09
UBS ETF (LU) MSCI EMU Socially Responsible UCITS ETF (EUR) A-dis,LU0629460675,UIMR,EUR,"1,130",0.22%,37.55%,30.06%,71.36%,-1.10%,30.68%,-8.14%,14.81
UBS ETF (LU) MSCI EMU UCITS ETF (EUR) A-dis,LU0147308422,UIM4,EUR,681,0.18%,42.77%,23.00%,57.27%,-0.85%,25.93%,-12.40%,12.89
UBS ETF (LU) MSCI EMU Value UCITS ETF (EUR) A-dis,LU0446734369,EMVEUA,EUR,244,0.25%,44.96%,8.14%,40.86%,-8.00%,18.74%,-13.98%,10.39
UBS ETF (LU) MSCI Europe Socially Responsible UCITS ETF (EUR) A-acc,LU2206597804,-,EUR,1,0.18%,-,-,-,-,-,-,-
UBS ETF (LU) MSCI Europe Socially Responsible UCITS ETF (EUR) A-dis,LU2206597713,UIW2,EUR,1,0.18%,-,-,-,-,-,-,-
UBS ETF (LU) MSCI Europe Socially Responsible UCITS ETF (hedged to EUR) A-acc,LU2206598109,-,EURHedged,1,0.23%,-,-,-,-,-,-,-
UBS ETF (LU) MSCI Europe UCITS ETF (EUR) A-dis,LU0446734104,EUREUA,EUR,340,0.20%,35.05%,24.25%,49.18%,-3.27%,26.22%,-10.44%,10.41
UBS ETF (LU) MSCI Europe UCITS ETF (hedged to EUR) A-acc,LU1600334798,UIMF,EURHedged,63,0.30%,34.73%,22.11%,-,-2.19%,23.41%,-10.78%,-
UBS ETF (LU) MSCI Japan Socially Responsible UCITS ETF (hedged to EUR) A-acc,LU1273488715,JPSRE,EURHedged,82,0.27%,32.99%,23.66%,-,12.81%,21.14%,-17.39%,17.74
UBS ETF (LU) MSCI Japan Socially Responsible UCITS ETF (JPY) A-dis,LU1230561679,FRCJ,JPY,399,0.22%,22.12%,29.00%,61.60%,9.92%,26.60%,-10.52%,8.35
UBS ETF (LU) MSCI Japan UCITS ETF (hedged to EUR) A-acc,LU1169822266,UFMA,EURHedged,53,0.29%,-,-,-,-,-,-,-
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-dis,LU0136240974,JPNJPA,JPY,694,0.19%,27.34%,25.10%,58.42%,5.15%,22.14%,-9.69%,9.10
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-dis,LU0446734526,PACUSA,USD,109,0.30%,38.17%,27.94%,57.46%,-2.61%,20.34%,-6.29%,10.34
UBS ETF (LU) MSCI Pacific Socially Responsible UCITS ETF (USD) A-acc,LU0950674928,USUP,USD,11,0.40%,-,-,-,-,-,-,-
UBS ETF (LU) MSCI Pacific Socially Responsible UCITS ETF (USD) A-dis,LU0629460832,UIMT,USD,809,0.40%,26.57%,28.69%,56.61%,5.10%,26.99%,-9.89%,7.09
UBS ETF (LU) MSCI Switzerland IMI Socially Responsible UCITS ETF (CHF) A-acc,LU2250132763,-,CHF,4,0.28%,-,-,-,-,-,-,-
UBS ETF (LU) MSCI United Kingdom UCITS ETF (hedged to EUR) A-acc,LU1169821292,UFMB,EURHedged,57,0.30%,-,-,-,-,-,-,-
UBS ETF (LU) MSCI USA Socially Responsible UCITS ETF (hedged to EUR) A-dis,LU1280303014,USSRF,EURHedged,175,0.25%,49.20%,55.43%,97.66%,20.36%,25.70%,-6.95%,19.57
UBS ETF (LU) MSCI USA Socially Responsible UCITS ETF (USD) A-dis,LU0629460089,UIMP,USD,"1,407",0.22%,38.62%,72.89%,112.84%,12.81%,32.14%,0.70%,7.38
UBS ETF (LU) MSCI USA UCITS ETF (USD) A-dis,LU0136234654,USAUSA,USD,463,0.14%,40.16%,70.57%,107.36%,10.42%,33.23%,-0.68%,6.44
UBS ETF (LU) MSCI World Socially Responsible UCITS ETF (USD) A-acc,LU0950674332,SEAC,USD,616,0.22%,35.59%,57.00%,-,8.71%,31.16%,-,-
UBS ETF (LU) MSCI World Socially Responsible UCITS ETF (USD) A-dis,LU0629459743,UIMM,USD,"2,807",0.22%,35.60%,57.08%,89.98%,8.71%,31.12%,-2.99%,8.32
UBS ETF (LU) MSCI World UCITS ETF (USD) A-dis,LU0340285161,WRDUSA,USD,940,0.30%,38.04%,51.99%,83.79%,5.86%,29.93%,-4.60%,7.41
UBS ETF (LU) SBI Foreign AAA-BBB 1-5 UCITS ETF (CHF) A-dis,LU0879397742,UEFY,CHF,143,0.20%,-0.09%,7.61%,-1.27%,0.27%,4.15%,3.82%,-8.51
UBS ETF (LU) SBI Foreign AAA-BBB 5-10 UCITS ETF (CHF) A-dis,LU0879399441,UEFZ,CHF,177,0.20%,2.16%,10.44%,0.78%,0.82%,6.28%,3.56%,-7.85
UBS ETF (LU) Solactive China Technology UCITS ETF (hedged to EUR) A-acc,LU2265794946,-,EURHedged,0,0.53%,-,-,-,-,-,-,-
UBS ETF (LU) Solactive China Technology UCITS ETF (USD) A-acc,LU2265794276,-,USD,5,0.47%,-,-,-,-,-,-,-
UBS ETF (LU) Sustainable Development Bank Bonds UCITS ETF (hedged to EUR) A-acc,LU1852211991,MDBE,EURHedged,463,0.23%,-0.75%,-,-,3.46%,-,-,-
UBS ETF (LU) Sustainable Development Bank Bonds UCITS ETF (USD) A-acc,LU1852211215,MDBUA,USD,193,0.18%,-8.46%,-,-,-4.03%,6.94%,-,-
UBS ETF (LU) Sustainable Development Bank Bonds UCITS ETF (USD) A-dis,LU1852212965,MDBU,USD,44,0.18%,-8.47%,-,-,-4.00%,6.94%,-,-
UBS ETF - Bloomberg Barclays MSCI Global Liquid Corporates Sustainable UCITS ETF (hedged to EUR) A-acc,LU2099992260,4UBR,EURHedged,16,0.25%,-,-,-,-,-,-,-
UBS ETFs (IE) Bloomberg Commodity CMCI SF UCITS ETF (hedged to EUR) A-acc,IE00BYYLVJ24,BCFE,EURHedged,9,0.34%,32.56%,-0.48%,-,0.52%,3.35%,-11.82%,-
UBS ETFs (IE) Bloomberg Commodity CMCI SF UCITS ETF (USD) A-acc,IE00BYYLVH00,BCFU,USD,181,0.34%,23.62%,11.07%,-,-5.89%,8.78%,-4.85%,-
UC AXI Global CoCo Bonds UCITS ETF,LU1873136789,-,EURHedged,-,0.65%,21.65%,-,-,4.57%,-,-,-
UC MSCI European Green Bond EUR UCITS ETF,LU1899270539,-,EUR,-,0.35%,4.84%,-,-,3.73%,-,-,-
UC Refinitiv European Convertible Bond UCITS ETF,LU1199448058,ECBD,EUR,28,0.75%,13.42%,9.57%,7.80%,4.40%,7.81%,-5.30%,-3.55
UC Refinitiv European Convertible Bond UCITS ETF (dis),LU1372156916,ECBC,EUR,16,0.75%,13.46%,9.77%,-,4.25%,7.18%,-,-
VanEck Vector Preferred US Equity UCITS ETF,IE00BDFBTR85,PRF,USD,4,0.41%,3.89%,21.12%,-,-3.11%,18.85%,-0.78%,-
VanEck Vectors Bitcoin ETN,DE000A28M8D0,-,USD,155,1.00%,-,-,-,-,-,-,-
VanEck Vectors Emerging Markets High Yield Bond UCITS ETF,IE00BF541080,HYEM,USD,23,0.40%,15.32%,21.94%,-,-2.17%,15.87%,-,-
VanEck Vectors Ethereum ETN,DE000A3GPSP7,-,USD,1,1.00%,-,-,-,-,-,-,-
VanEck Vectors European Equal Weight UCITS ETF,NL0010731816,TEET,EUR,39,0.20%,40.97%,25.72%,54.85%,-3.21%,24.75%,-9.73%,10.19
VanEck Vectors Global Equal Weight UCITS ETF,NL0009690221,TGET,EUR,295,0.20%,38.15%,41.49%,76.07%,2.52%,27.95%,-5.21%,6.80
VanEck Vectors Global Fallen Angel High Yield Bond UCITS ETF,IE00BF540Z61,GFA,USD,45,0.40%,19.09%,31.81%,-,6.56%,15.34%,-,-
VanEck Vectors Global Mining UCITS ETF,IE00BDFBTQ78,GDIG,USD,85,0.50%,71.07%,-,-,18.58%,29.78%,-,-
VanEck Vectors Global Real Estate UCITS ETF,NL0009690239,TRET,EUR,122,0.25%,21.94%,23.41%,16.78%,-14.71%,22.57%,0.24%,-3.42
VanEck Vectors Gold Miners UCITS ETF,IE00BQQP9F84,GDX,USD,599,0.53%,20.70%,63.49%,58.22%,12.69%,42.87%,-4.72%,-1.88
VanEck Vectors Hydrogen Economy UCITS ETF,IE00BMDH1538,HDGB,USD,5,0.55%,-,-,-,-,-,-,-
VanEck Vectors iBoxx EUR Corporates UCITS ETF,NL0009690247,TCBT,EUR,48,0.15%,8.15%,8.60%,10.44%,2.69%,6.86%,-1.11%,1.21
VanEck Vectors iBoxx EUR Sovereign Capped AAA-AA 1-5 UCITS ETF,NL0010273801,TAT,EUR,177,0.15%,0.09%,-0.21%,-0.99%,0.14%,-0.19%,-0.04%,-0.81
VanEck Vectors iBoxx EUR Sovereign Diversified 1-10 UCITS ETF,NL0009690254,TGBT,EUR,37,0.15%,3.88%,8.91%,10.10%,4.51%,5.18%,1.03%,0.36
VanEck Vectors J.P. Morgan EM Local Currency Bond UCITS ETF,IE00BDS67326,EMLC,USD,42,0.30%,4.76%,-2.78%,-,-6.00%,11.36%,-3.47%,-
VanEck Vectors Junior Gold Miners UCITS,IE00BQQP9G91,GDXJ,USD,387,0.55%,37.86%,58.01%,61.98%,18.96%,44.11%,-7.61%,-7.32
VanEck Vectors Morningstar Developed Markets Dividend Leaders UCITS ETF,NL0011683594,TDIV,EUR,43,0.38%,33.01%,22.36%,-,-9.55%,22.48%,-7.54%,3.32
VanEck Vectors Morningstar Global Wide Moat UCITS ETF,IE00BL0BMZ89,GOAT,USD,26,0.52%,-,-,-,-,-,-,-
VanEck Vectors Morningstar North America Equal Weight UCITS ETF,NL0011376074,TNAE,EUR,9,0.20%,32.85%,60.10%,98.22%,6.94%,31.38%,0.71%,4.86
VanEck Vectors Morningstar US Wide Moat UCITS ETF,IE00BQQP9H09,MOAT,USD,358,0.49%,40.41%,83.11%,132.20%,4.47%,37.04%,3.06%,7.90
VanEck Vectors Natural Resources UCITS ETF,IE00BDFBTK17,HAP,USD,9,0.50%,55.31%,37.76%,-,-2.68%,20.48%,-6.63%,-
VanEck Vectors Semiconductor UCITS ETF,IE00BMC38736,SMH,USD,241,0.35%,-,-,-,-,-,-,-
VanEck Vectors Sustainable World Equal Weight UCITS ETF,NL0010408704,TSWE,EUR,131,0.30%,40.43%,43.66%,83.44%,5.93%,27.15%,-5.19%,8.10
VanEck Vectors Video Gaming and eSports UCITS ETF,IE00BYWQWR46,ESPO,USD,864,0.55%,64.50%,-,-,68.16%,-,-,-
Vanguard ESG Global All Cap UCITS ETF (USD) Accumulating,IE00BNG8L278,-,USD,15,0.24%,-,-,-,-,-,-,-
Vanguard ESG Global All Cap UCITS ETF (USD) Distributing,IE00BNG8L385,-,USD,15,0.24%,-,-,-,-,-,-,-
Vanguard EUR Corporate Bond UCITS ETF Accumulating,IE00BGYWT403,VECA,EUR,244,0.09%,9.03%,-,-,2.59%,-,-,-
Vanguard EUR Corporate Bond UCITS ETF Distributing,IE00BZ163G84,VECP,EUR,576,0.09%,9.02%,7.67%,11.89%,2.58%,6.24%,-1.33%,2.43
Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,IE00BH04GL39,VETA,EUR,506,0.07%,3.51%,-,-,4.91%,-,-,-
Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,IE00BZ163H91,VETY,EUR,571,0.07%,3.46%,9.06%,10.26%,4.91%,6.74%,0.89%,0.05
Vanguard FTSE 100 UCITS ETF Distributing,IE00B810Q511,VUKE,GBP,"3,937",0.09%,28.60%,9.64%,26.60%,-16.35%,23.18%,-9.58%,7.90
Vanguard FTSE 250 UCITS ETF Distributing,IE00BKX55Q28,VMID,GBP,"3,314",0.10%,45.59%,23.66%,39.67%,-9.77%,35.28%,-14.16%,13.50
Vanguard FTSE All-World High Dividend Yield UCITS ETF Acc,IE00BK5BR626,VHYA,USD,47,0.29%,31.84%,-,-,-8.71%,-,-,-
Vanguard FTSE All-World High Dividend Yield UCITS ETF Distributing,IE00B8GKDB10,VHYD,USD,"1,403",0.29%,31.41%,24.62%,47.19%,-8.68%,23.58%,-7.35%,4.62
Vanguard FTSE All-World UCITS ETF (USD) Accumulating,IE00BK5BQT80,VWRA,USD,"2,192",0.22%,39.03%,-,-,6.18%,-,-,-
Vanguard FTSE All-World UCITS ETF Distributing,IE00B3RBWM25,VWRD,USD,"6,468",0.22%,39.04%,49.36%,84.16%,6.17%,29.01%,-5.34%,8.97
Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF Acc,IE00BK5BQZ41,VAPU,USD,77,0.15%,52.82%,-,-,8.61%,-,-,-
Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF Distributing,IE00B9F5YL18,VDPX,USD,767,0.15%,52.50%,34.64%,74.46%,8.65%,19.20%,-10.31%,16.18
Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating,IE00BK5BQY34,VERE,EUR,147,0.11%,38.88%,-,-,2.54%,-,-,-
Vanguard FTSE Developed Europe ex UK UCITS ETF Distributing,IE00BKX55S42,VERX,EUR,"1,429",0.11%,38.91%,31.60%,61.21%,2.57%,27.09%,-10.52%,12.17
Vanguard FTSE Developed Europe UCITS ETF (EUR) Accumulating,IE00BK5BQX27,VWCG,EUR,421,0.11%,36.34%,-,-,-2.56%,-,-,-
Vanguard FTSE Developed Europe UCITS ETF Distributing,IE00B945VV12,VEUR,EUR,"2,070",0.11%,36.27%,25.51%,50.97%,-2.56%,26.45%,-10.47%,10.75
Vanguard FTSE Developed World UCITS ETF Acc,IE00BK5BQV03,VHVE,USD,93,0.12%,39.46%,-,-,6.39%,-,-,-
Vanguard FTSE Developed World UCITS ETF Distributing,IE00BKX55T58,VDEV,USD,866,0.12%,39.07%,52.59%,86.78%,6.39%,29.86%,-4.79%,8.36
Vanguard FTSE Emerging Markets UCITS ETF Acc,IE00BK5BR733,VFEA,USD,79,0.22%,40.36%,-,-,4.95%,-,-,-
Vanguard FTSE Emerging Markets UCITS ETF Distributing,IE00B3VVMM84,VDEM,USD,"2,240",0.22%,39.88%,26.21%,70.13%,4.95%,21.96%,-9.38%,15.91
Vanguard FTSE Japan UCITS ETF Accumulating,IE00BFMXYX26,VJPA,USD,77,0.15%,27.98%,-,-,4.38%,-,-,-
Vanguard FTSE Japan UCITS ETF Distributing,IE00B95PGT31,VDJP,USD,"1,941",0.15%,27.57%,24.06%,59.63%,4.43%,21.12%,-9.33%,9.60
Vanguard FTSE Japan UCITS ETF EUR Hedged Acc,IE00BFMXYY33,VJPE,EURHedged,18,0.20%,39.53%,-,-,-,-,-,-
Vanguard FTSE North America UCITS ETF (USD) Accumulating,IE00BK5BQW10,VNRA,USD,254,0.10%,40.18%,-,-,9.59%,-,-,-
Vanguard FTSE North America UCITS ETF Distributing,IE00BKX55R35,VDNR,USD,"1,217",0.10%,40.14%,70.16%,107.58%,9.60%,33.54%,-1.03%,6.63
Vanguard Germany All Cap UCITS ETF Distributing,IE00BG143G97,VGER,EUR,79,0.10%,46.24%,-,-,3.75%,24.81%,-,-
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Accumulating,IE00BG47KH54,VAGF,EURHedged,130,0.10%,1.42%,-,-,4.92%,-,-,-
Vanguard Global Aggregate Bond UCITS ETF EUR Hedged Distributing,IE00BG47KB92,VAGE,EURHedged,98,0.10%,1.42%,-,-,4.94%,-,-,-
Vanguard LifeStrategy 20% Equity UCITS ETF Accumulating,IE00BMVB5K07,-,EUR,11,0.25%,-,-,-,-,-,-,-
Vanguard LifeStrategy 20% Equity UCITS ETF Distributing,IE00BMVB5L14,-,EUR,3,0.25%,-,-,-,-,-,-,-
Vanguard LifeStrategy 40% Equity UCITS ETF Accumulating,IE00BMVB5M21,-,EUR,12,0.25%,-,-,-,-,-,-,-
Vanguard LifeStrategy 40% Equity UCITS ETF Distributing,IE00BMVB5N38,-,EUR,4,0.25%,-,-,-,-,-,-,-
Vanguard LifeStrategy 60% Equity UCITS ETF Accumulating,IE00BMVB5P51,-,EUR,20,0.25%,-,-,-,-,-,-,-
Vanguard LifeStrategy 60% Equity UCITS ETF Distributing,IE00BMVB5Q68,-,EUR,6,0.25%,-,-,-,-,-,-,-
Vanguard LifeStrategy 80% Equity UCITS ETF Accumulating,IE00BMVB5R75,-,EUR,24,0.25%,-,-,-,-,-,-,-
Vanguard LifeStrategy 80% Equity UCITS ETF Distributing,IE00BMVB5S82,-,EUR,6,0.25%,-,-,-,-,-,-,-
Vanguard S&P 500 UCITS ETF,IE00B3XXRP09,VUSD,USD,"23,913",0.07%,37.81%,69.22%,106.62%,8.05%,33.52%,-0.23%,6.68
Vanguard S&P 500 UCITS ETF (USD) Accumulating,IE00BFMXXD54,VUAA,USD,"1,656",0.07%,38.19%,-,-,8.06%,-,-,-
Vanguard UK Gilt UCITS ETF Distributing,IE00B42WWV65,VGOV,GBP,191,0.07%,-4.33%,11.58%,9.74%,3.68%,13.03%,-0.41%,-1.60
Vanguard USD Corporate 1-3 Bond UCITS ETF Distributing,IE00BDD48R20,VDUC,USD,135,0.09%,-3.75%,-,-,-5.01%,7.30%,-,-
Vanguard USD Corporate Bond UCITS ETF Accumulating,IE00BGYWFK87,VDPA,USD,222,0.09%,0.30%,-,-,0.41%,-,-,-
Vanguard USD Corporate Bond UCITS ETF Distributing,IE00BZ163K21,VDCP,USD,308,0.09%,0.02%,23.90%,21.53%,0.41%,15.90%,2.40%,-6.61
Vanguard USD Corporate Bond UCITS ETF EUR Hedged Accumulating,IE00BGYWFL94,-,EURHedged,33,0.14%,-,-,-,-,-,-,-
Vanguard USD Emerging Markets Government Bond UCITS ETF Distributing,IE00BZ163L38,VDET,USD,450,0.25%,4.44%,17.33%,-,-2.93%,15.11%,1.91%,-4.97
Vanguard USD Treasury Bond UCITS ETF Distributing,IE00BZ163M45,VDTY,USD,258,0.07%,-12.21%,16.44%,6.30%,-1.14%,8.71%,5.65%,-10.10
Vanguard USD Treasury Bond UCITS ETF EUR Hedged Accumulating,IE00BMX0B631,-,EURHedged,43,0.12%,-,-,-,-,-,-,-
WisdomTree Artificial Intelligence UCITS ETF USD Acc,IE00BDVPNG13,WTAI,USD,388,0.40%,96.90%,-,-,60.13%,50.57%,-,-
WisdomTree AT1 CoCo Bond UCITS ETF,IE00BZ0XVF52,CCBO,USD,45,0.50%,18.71%,-,-,0.12%,19.68%,-,-
WisdomTree AT1 CoCo Bond UCITS ETF EUR Hedged,IE00BFNNN236,-,EURHedged,34,0.50%,23.77%,-,-,4.79%,15.47%,-,-
WisdomTree Battery Solutions UCITS ETF USD Acc,IE00BKLF1R75,VOLT,USD,305,0.40%,107.10%,-,-,-,-,-,-
WisdomTree Cloud Computing UCITS ETF USD Acc,IE00BJGWQN72,WCLD,USD,554,0.40%,90.32%,-,-,91.41%,-,-,-
WisdomTree Core Physical Gold,DE000A3GNQ18,-,USD,93,0.15%,-,-,-,-,-,-,-
WisdomTree Cybersecurity UCITS ETF USD Acc,IE00BLPK3577,WCBR,USD,9,0.45%,-,-,-,-,-,-,-
WisdomTree Emerging Markets Equity Income UCITS ETF,IE00BQQ3Q067,DEM,USD,35,0.46%,23.89%,10.66%,51.37%,-14.72%,21.94%,-3.26%,10.08
WisdomTree Emerging Markets Equity Income UCITS ETF Acc,IE00BDF12W49,DEMR,USD,2,0.46%,23.98%,10.71%,-,-14.67%,21.89%,-3.28%,10.18
WisdomTree Emerging Markets SmallCap Dividend UCITS ETF,IE00BQZJBM26,DGSE,USD,27,0.54%,45.17%,14.52%,60.90%,-4.03%,19.55%,-10.97%,18.63
WisdomTree Enhanced Commodity UCITS ETF EUR Hedged Acc,IE00BG88WG77,-,EURHedged,31,0.35%,29.61%,-,-,-0.52%,3.68%,-,-
WisdomTree Enhanced Commodity UCITS ETF USD Acc,IE00BYMLZY74,WCOA,USD,110,0.35%,21.05%,9.46%,-,-6.82%,9.20%,-5.50%,-7.34
WisdomTree EUR Aggregate Bond Enhanced Yield UCITS ETF EUR,IE00BD49R912,-,EUR,10,0.18%,6.48%,-,-,4.76%,9.04%,-,-
WisdomTree EUR Aggregate Bond Enhanced Yield UCITS ETF EUR Acc,IE00BD49RB39,-,EUR,4,0.18%,6.47%,-,-,4.79%,9.03%,-,-
WisdomTree EUR Government Bond Enhanced Yield UCITS ETF EUR,IE00BD49RJ15,-,EUR,1,0.16%,3.48%,-,-,6.32%,9.20%,-,-
WisdomTree EUR Government Bond Enhanced Yield UCITS ETF EUR Acc,IE00BD49RK20,-,EUR,3,0.16%,6.45%,-,-,6.31%,9.20%,-,-
WisdomTree Europe Equity Income UCITS ETF,IE00BQZJBX31,EEI,EUR,20,0.29%,27.55%,3.49%,28.94%,-18.30%,20.53%,-7.27%,9.21
WisdomTree Europe Equity UCITS ETF EUR Acc,IE00BYQCZX56,HEDF,EUR,5,0.32%,41.29%,18.51%,51.80%,-3.99%,23.85%,-11.52%,12.20
WisdomTree Europe Equity UCITS ETF USD Hedged,IE00BVXBH163,HEDJ,USDHedged,20,0.58%,30.55%,29.86%,59.42%,-10.85%,29.72%,-4.86%,-0.07
WisdomTree Europe SmallCap Dividend UCITS ETF,IE00BQZJC527,DFE,EUR,31,0.38%,59.18%,20.88%,51.08%,-4.66%,29.33%,-17.24%,16.61
WisdomTree Europe SmallCap Dividend UCITS ETF Acc,IE00BDF16114,DFEA,EUR,5,0.38%,58.87%,20.64%,-,-4.63%,29.27%,-17.25%,16.63
WisdomTree European Union Bond UCITS ETF EUR Acc,IE00BMXWRM76,-,EUR,16,0.16%,-,-,-,-,-,-,-
WisdomTree Eurozone Quality Dividend Growth UCITS ETF EUR Acc,IE00BZ56TQ67,EGRA,EUR,15,0.29%,41.99%,30.21%,-,5.83%,32.68%,-14.28%,20.29
WisdomTree Global Quality Dividend Growth UCITS ETF USD Acc,IE00BZ56SW52,GGRA,USD,53,0.38%,32.46%,57.00%,-,6.45%,35.74%,-4.47%,12.46
WisdomTree Japan Equity UCITS ETF EUR Hedged Acc,IE00BYQCZJ13,-,EURHedged,4,0.45%,43.37%,9.93%,49.92%,0.75%,14.86%,-21.08%,19.99
WisdomTree Japan Equity UCITS ETF JPY Acc,IE00BYQCZN58,DXJZ,USD,1,0.40%,31.74%,15.12%,50.94%,-1.62%,19.37%,-13.92%,9.85
WisdomTree Japan Equity UCITS ETF USD Hedged,IE00BVXC4854,DXJ,USDHedged,19,0.48%,32.60%,22.22%,59.82%,-5.84%,20.79%,-14.82%,7.41
WisdomTree Physical Gold,DE000A0N62G0,-,USD,"5,206",0.39%,-3.22%,34.17%,32.54%,12.72%,20.73%,2.80%,-2.07
WisdomTree Physical Gold - EUR Daily Hedged,DE000A1RX996,-,EURHedged,298,0.25%,4.34%,18.63%,18.90%,21.56%,13.16%,-5.59%,8.94
WisdomTree Physical Palladium,DE000A0N62E5,-,USD,181,0.49%,9.27%,196.20%,356.98%,11.66%,53.29%,24.37%,37.33
WisdomTree Physical Platinum,DE000A0N62D7,-,USD,629,0.49%,50.77%,35.98%,18.80%,1.33%,21.86%,-10.84%,-10.40
WisdomTree Physical Precious Metals,DE000A0N62H8,-,USD,162,0.44%,11.59%,68.23%,75.52%,15.12%,28.42%,4.37%,1.53
WisdomTree Physical Silver,DE000A0N62F2,-,USD,"2,070",0.49%,53.94%,57.71%,56.23%,33.47%,18.76%,-5.32%,-9.25
WisdomTree Physical Swiss Gold,DE000A1DCTL3,-,USD,"2,880",0.15%,-3.12%,34.91%,33.46%,12.59%,21.23%,3.06%,-1.99
